region,gender,province,cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,edu_comp,degree_year,eui,dist_cult,eoi,soc_media,st_heard_num,spell_uni_num,distinct_num,cdn_way_num,spell_num,st_heard_scaled,spell_uni_scaled,distinct_scaled,cdn_way_scaled,spell_scaled,slai
BC,female,British Columbia,strongly agree,definitely yes,no,,extremely unimportant,yes,yes,yes but i cant describe it well,both,very unimportant,definitely not,definitely not,probably not,no,singaporean english,rarely,yes,neither yes or no,definitely yes,definitely yes,disagree,disagree,strongly agree,neither disagree nor agree,probably not,19,canada,high school,second year,0,no,,46 hours,5,1,1,2,1,5,1,1,2.33333333333333,1,1.33333333333333
BC,female,British Columbia,strongly agree,probably yes,no,,important,no,yes,yes but i cant describe it well,zed,important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,yes,probably yes,definitely yes,disagree,disagree,agree,agree,probably yes,24,canada,high school,fourth year+,0,yes ,12,12 hours,5,4,3,3,4,5,4,3.66666666666667,3.66666666666667,4,3.83333333333333
BC,male,United States,strongly agree,probably yes,no,,extremely unimportant,that depends ,no,,zee,unimportant,probably not,definitely not,probably yes,no,british english,sometimes,yes,no,definitely yes,definitely yes,agree,neither disagree nor agree,agree,disagree,probably yes,19,united states,high school,i am not currently studying,0,no,,46 hours,1,2,1,3,2,1,2,1,3.66666666666667,2,2.16666666666667
US,other,British Columbia,strongly agree,probably yes,yes,extremely comfortable,unimportant,that depends ,no,yes i do know it is ,zee,important,definitely not,definitely yes,definitely not,yes ,no particular variety,often,no,yes,definitely yes,definitely yes,disagree,strongly disagree,strongly agree,disagree,definitely yes,24,canada,high school,fourth year+,4,yes ,4,24 hours,1,1,4,4,4,1,1,5,5,4,3.75
BC,other,Quebec,strongly agree,probably yes,yes,moderately comfortable,important,no,yes,yes but i cant describe it well,both,neither unimportant nor important,probably not,probably yes,probably not,yes ,british english,sometimes,yes,yes,probably yes,probably yes,disagree,disagree,strongly agree,strongly agree,probably yes,24,canada,high school,fourth year+,0,no,,12 hours,5,2,3,3,3,5,2,3.66666666666667,3.66666666666667,3,3.08333333333333
BC,male,British Columbia,strongly agree,probably not,no,,important,that depends ,no,,zed,neither unimportant nor important,definitely not,definitely not,probably yes,yes ,british english,rarely,,no,probably yes,probably yes,agree,disagree,strongly agree,disagree,probably yes,24,canada,high school,fourth year+,0,yes ,4,24 hours,1,1,1,3,3,1,1,1,3.66666666666667,3,2.16666666666667
ON,female,Ontario,agree,probably yes,no,,important,that depends ,not sure,,zee,important,,,,,,,,,definitely yes,probably yes,agree,agree,strongly agree,agree,,19,canada,elementary school,i am not currently studying,0,no,,24 hours,3,,,,4,3,,,,4,4
BC,female,British Columbia,agree,definitely yes,yes,neither comfortable nor uncomfortable,,that depends ,no,,zee,important,probably yes,probably yes,,,british english,sometimes,,neither yes or no,definitely yes,probably yes,disagree,disagree,agree,strongly agree,probably yes,19,canada,elementary school,i am not currently studying,0,no,,46 hours,1,4,3,3,4,1,4,3.66666666666667,3.66666666666667,4,3.83333333333333
MB,male,British Columbia,strongly agree,definitely yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,definitely yes,probably not,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,,disagree,strongly agree,disagree,definitely yes,24,canada,high school,fourth year+,0,yes ,3,30 minutes to 1 hour,5,5,2,4,3,5,5,2.33333333333333,5,3,3.83333333333333
AB,male,British Columbia,agree,definitely yes,no,,important,yes,yes,yes but i cant describe it well,both,important,definitely yes,probably yes,probably not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,agree,agree,agree,neither disagree nor agree,definitely yes,24,canada,undergraduate degree,fourth year+,0,no,,24 hours,5,5,3,4,4,5,5,3.66666666666667,5,4,4.41666666666667
ON,other,Quebec,agree,probably yes,yes,moderately comfortable,,that depends ,no,,both,unimportant,probably not,probably yes,,yes ,british english,sometimes,yes,,definitely yes,might or might not,disagree,disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,high school,fourth year+,2,no,,46 hours,1,2,3,3,2,1,2,3.66666666666667,3.66666666666667,2,2.83333333333333
BC,female,British Columbia,agree,probably yes,no,,unimportant,that depends ,yes,yes but i cant describe it well,both,neither unimportant nor important,probably yes,probably yes,probably not,,no particular variety,often,yes,yes,definitely yes,probably yes,disagree,strongly disagree,agree,disagree,probably yes,24,canada,high school,fourth year+,0,no,,24 hours,5,4,3,3,3,5,4,3.66666666666667,3.66666666666667,3,3.58333333333333
MB,male,British Columbia,strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,undergraduate degree,i am not currently studying,0,no,,46 hours,5,5,4,3,5,5,5,5,3.66666666666667,5,4.66666666666667
ON,female,British Columbia,strongly agree,definitely yes,yes,moderately comfortable,important,no,not sure,,zed,important,probably not,probably yes,definitely not,yes ,no particular variety,,yes,definitely yes,definitely yes,might or might not,strongly disagree,strongly disagree,strongly agree,neither disagree nor agree,probably not,24,canada,high school,fourth year+,0,yes ,2,30 minutes to 1 hour,3,2,3,2,4,3,2,3.66666666666667,2.33333333333333,4,3
BC,female,British Columbia,strongly agree,neutral,no,,extremely important,that depends ,yes,yes i do know it is ,zee,very important,definitely yes,definitely yes,definitely not,yes ,british english,sometimes,yes,yes,definitely yes,definitely yes,strongly disagree,strongly disagree,strongly agree,neither disagree nor agree,definitely yes,24,canada,high school,fourth year+,0,no,,30 minutes to 1 hour,5,5,4,4,5,5,5,5,5,5,5
BC,female,British Columbia,strongly disagreee,probably yes,yes,neither comfortable nor uncomfortable,extremely unimportant,that depends ,no,,both,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,definitely yes,probably not,probably yes,agree,neither disagree nor agree,,neither disagree nor agree,probably yes,24,canada,high school,fourth year+,2,yes ,3,24 hours,1,4,3,3,3,1,4,3.66666666666667,3.66666666666667,3,3.58333333333333
QC,female,Quebec,strongly agree,probably yes,yes,extremely comfortable,extremely important,no,yes,yes but i cant describe it well,zee,important,definitely yes,probably yes,,,british english,sometimes,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,24,canada,undergraduate degree,first year,5,no,,12 hours,5,5,3,3,4,5,5,3.66666666666667,3.66666666666667,4,4.08333333333333
MB,male,British Columbia,strongly agree,definitely yes,yes,extremely comfortable,important,no,yes,yes i do know it is ,zed,neither unimportant nor important,might or might not,probably yes,definitely not,yes ,no particular variety,often,yes,yes,definitely yes,probably yes,disagree,disagree,agree,agree,probably not,49,canada,high school,i am not currently studying,3,yes ,4,30 minutes to 1 hour,5,3,3,2,3,5,3,3.66666666666667,2.33333333333333,3,3
BC,male,British Columbia,strongly agree,neutral,yes,moderately comfortable,important,no,yes,yes i do know it is ,zed,important,probably yes,definitely yes,definitely not,yes ,singaporean english,,yes,yes,definitely yes,definitely yes,disagree,disagree,strongly agree,disagree,definitely yes,39,canada,postgraduate degree,fourth year+i am in a graduate program,0,no,,12 hours,5,4,4,4,4,5,4,5,5,4,4.5
BC,female,British Columbia,strongly agree,probably yes,yes,neither comfortable nor uncomfortable,,that depends ,not sure,yes but i cant describe it well,zee,neither unimportant nor important,probably not,probably yes,definitely not,yes ,no particular variety,sometimes,yes,yes,probably yes,definitely yes,disagree,disagree,agree,strongly agree,probably yes,24,canada,high school,fourth year+,4,yes ,3,24 hours,3,2,3,3,3,3,2,3.66666666666667,3.66666666666667,3,3.08333333333333
MB,female,British Columbia,strongly agree,definitely yes,yes,moderately comfortable,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,often,yes,yes,definitely yes,might or might not,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,64,canada,postgraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,5,4,3,3,3,5,4,3.66666666666667,3.66666666666667,3,3.58333333333333
BC,female,British Columbia,agree,probably yes,no,,,yes,no,,zed,neither unimportant nor important,might or might not,probably yes,,yes ,no particular variety,sometimes,yes,yes,probably yes,probably not,disagree,disagree,,neither disagree nor agree,probably yes,24,canada,undergraduate degree,fourth year+,0,no,,24 hours,1,3,3,3,3,1,3,3.66666666666667,3.66666666666667,3,3.33333333333333
US,female,Quebec,strongly agree,probably yes,yes,moderately comfortable,important,yes,yes,yes but i cant describe it well,zee,important,might or might not,probably yes,,yes ,british english,sometimes,yes,yes,definitely yes,might or might not,disagree,disagree,agree,neither disagree nor agree,probably yes,24,canada,undergraduate degree,third year,2,no,,30 minutes to 1 hour,5,3,3,3,4,5,3,3.66666666666667,3.66666666666667,4,3.58333333333333
BC,female,Ontario,strongly agree,probably yes,yes,moderately comfortable,important,that depends ,yes,yes but i cant describe it well,zee,important,probably yes,probably yes,definitely not,no,british english,sometimes,,neither yes or no,probably yes,probably yes,strongly disagree,strongly disagree,strongly agree,disagree,probably yes,24,canada,undergraduate degree,fourth year+,1,no,,12 hours,5,4,3,3,4,5,4,3.66666666666667,3.66666666666667,4,3.83333333333333
BC,female,British Columbia,strongly agree,probably yes,yes,moderately comfortable,important,that depends ,no,,zed,neither unimportant nor important,might or might not,probably yes,probably not,yes ,british english,sometimes,yes,yes,probably yes,probably yes,neither disagree nor agree,disagree,agree,disagree,probably yes,24,canada,high school,third year,0,no,,30 minutes to 1 hour,1,3,3,3,3,1,3,3.66666666666667,3.66666666666667,3,3.33333333333333
BC,female,British Columbia,strongly agree,probably yes,no,,important,,not sure,,both,important,probably yes,probably yes,probably not,yes ,no particular variety,sometimes,yes,yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,24,canada,high school,i am not currently studying,1,no,,24 hours,3,4,3,3,4,3,4,3.66666666666667,3.66666666666667,4,3.83333333333333
BC,female,British Columbia,strongly agree,probably yes,no,,extremely important,no,not sure,yes but i cant describe it well,both,very unimportant,might or might not,definitely not,definitely not,no,british english,often,,definitely not,definitely yes,definitely yes,disagree,strongly disagree,strongly agree,agree,probably yes,24,canada,high school,third year,0,no,,12 hours,3,3,1,3,1,3,3,1,3.66666666666667,1,2.16666666666667
BC,female,Quebec,strongly agree,definitely yes,yes,moderately comfortable,,yes,no,yes i do know it is ,zee,important,definitely yes,definitely yes,definitely not,yes ,no particular variety,often,yes,yes,definitely yes,definitely yes,,strongly disagree,strongly agree,strongly agree,definitely yes,24,canada,high school,fourth year+,4,yes ,7,24 hours,1,5,4,4,4,1,5,5,5,4,4.75
US,female,United States,strongly agree,definitely yes,yes,moderately uncomfortable,unimportant,that depends ,not sure,,zee,unimportant,probably not,probably not,,yes ,british english,always,yes,no,definitely yes,probably not,strongly disagree,strongly disagree,agree,neither disagree nor agree,definitely yes,24,united states,undergraduate degree,i am not currently studying,2,no,,12 hours,3,2,2,4,2,3,2,2.33333333333333,5,2,2.83333333333333
ON,female,Quebec,strongly agree,probably yes,yes,moderately uncomfortable,extremely important,no,no,,zed,very important,probably yes,probably yes,probably yes,yes ,canadian english,sometimes,yes,no,definitely yes,probably yes,strongly disagree,strongly disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,high school,fourth year+,3,no,,12 hours,1,4,3,3,5,1,4,3.66666666666667,3.66666666666667,5,4.08333333333333
BC,female,other,strongly agree,probably yes,yes,does not apply to me ,extremely important,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,,no,no particular variety,often,yes,yes,,might or might not,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,definitely yes,54,sweden,postgraduate degree,i am not currently studying,6,yes ,12,30 minutes to 1 hour,5,5,4,4,5,5,5,5,5,5,5
AB,female,British Columbia,strongly agree,probably yes,no,,important,that depends ,yes,yes i do know it is ,zee,neither unimportant nor important,probably yes,definitely not,definitely not,yes ,british english,never,no,yes,definitely not,probably yes,agree,strongly disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,high school,fourth year+,0,yes ,5,24 hours,5,4,1,3,3,5,4,1,3.66666666666667,3,2.91666666666667
BC,male,British Columbia,agree,probably not,yes,moderately comfortable,extremely important,that depends ,yes,yes i do know it is ,zed,important,probably yes,definitely yes,,,british english,often,yes,definitely yes,probably yes,definitely yes,disagree,disagree,agree,strongly disagree,probably yes,44,canada,graduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,5,4,4,3,4,5,4,5,3.66666666666667,4,4.16666666666667
BC,male,British Columbia,strongly agree,definitely yes,yes,moderately comfortable,important,no,no,,zed,very important,probably yes,definitely yes,,yes ,british english,rarely,yes,neither yes or no,definitely yes,definitely yes,agree,disagree,agree,agree,probably yes,19,canada,high school,first year,3,yes ,0,68 hours,1,4,4,3,5,1,4,5,3.66666666666667,5,4.41666666666667
ON,other,Ontario,strongly agree,definitely yes,no,,unimportant,no,no,,zee,unimportant,probably not,probably not,probably not,yes ,no particular variety,sometimes,yes,yes,definitely yes,might or might not,disagree,strongly disagree,agree,neither disagree nor agree,probably yes,24,canada,high school,third year,0,yes ,4,24 hours,1,2,2,3,2,1,2,2.33333333333333,3.66666666666667,2,2.5
BC,female,British Columbia,somewhat agree,probably not,yes,moderately comfortable,important,that depends ,no,,both,neither unimportant nor important,probably not,probably not,definitely not,yes ,no particular variety,,yes,definitely yes,definitely yes,definitely yes,strongly disagree,strongly disagree,strongly agree,strongly disagree,probably not,24,canada,undergraduate degree,i am not currently studying,2,yes ,10,24 hours,1,2,2,2,3,1,2,2.33333333333333,2.33333333333333,3,2.41666666666667
US,male,United States,,probably yes,yes,extremely comfortable,unimportant,no,no,,zee,very unimportant,definitely yes,definitely yes,probably not,no,jamaican english,always,no,definitely not,definitely not,definitely not,strongly disagree,,,strongly agree,probably not,29,canada,elementary school,i am not currently studying,12,no,,i dont use social media,1,5,4,2,1,1,5,5,2.33333333333333,1,3.33333333333333
BC,female,British Columbia,strongly agree,neutral,no,,important,that depends ,yes,,zed,important,probably yes,probably yes,probably not,yes ,british english,sometimes,yes,yes,probably yes,probably yes,agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,24,canada,high school,fourth year+,1,no,,12 hours,5,4,3,3,4,5,4,3.66666666666667,3.66666666666667,4,3.83333333333333
ON,female,Ontario,strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes i do know it is ,both,very important,definitely yes,definitely yes,probably not,yes ,british english,always,yes,yes,definitely yes,definitely yes,strongly agree,agree,agree,agree,definitely yes,49,canada,undergraduate degree,i am not currently studying,2,yes ,7,24 hours,5,5,4,4,5,5,5,5,5,5,5
US,other,British Columbia,strongly agree,probably yes,yes,extremely comfortable,,no,not sure,,zee,unimportant,probably not,probably not,probably not,,british english,sometimes,yes,neither yes or no,probably yes,probably yes,disagree,disagree,agree,,,24,canada,high school,fourth year+,1,no,,24 hours,3,2,2,,2,3,2,2.33333333333333,,2,2.11111111111111
BC,female,British Columbia,strongly agree,probably yes,yes,extremely comfortable,important,yes,not sure,,zed,unimportant,might or might not,definitely yes,,,american english,often,yes,neither yes or no,definitely not,definitely yes,agree,neither disagree nor agree,,neither disagree nor agree,probably yes,24,canada,high school,fourth year+,0,yes ,8,46 hours,3,3,4,3,2,3,3,5,3.66666666666667,2,3.41666666666667
AB,other,Ontario,agree,definitely yes,no,,important,yes,yes,yes i do know it is ,zed,important,probably yes,definitely yes,definitely not,,british english,often,yes,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,29,canada,graduate degree,second yeari am in a graduate program,0,no,,12 hours,5,4,4,3,4,5,4,5,3.66666666666667,4,4.16666666666667
ON,female,Ontario,strongly agree,definitely yes,no,,important,that depends ,yes,yes i do know it is ,zed,very important,might or might not,definitely yes,definitely not,yes ,other ,rarely,yes,definitely yes,might or might not,probably not,disagree,disagree,agree,disagree,probably yes,59,canada,postgraduate degree,i am not currently studying,0,no,,12 hours,5,3,4,3,5,5,3,5,3.66666666666667,5,4.16666666666667
BC,male,British Columbia,strongly disagreee,definitely yes,yes,neither comfortable nor uncomfortable,extremely unimportant,that depends ,no,,zee,very unimportant,definitely not,probably not,definitely not,yes ,british english,sometimes,no,no,probably yes,probably not,strongly disagree,strongly disagree,neither disagree nor agree,neither disagree nor agree,,24,canada,high school,fourth year+,0,yes ,2,24 hours,1,1,2,,1,1,1,2.33333333333333,,1,1.44444444444444
US,female,United States,strongly agree,probably not,no,,important,yes,yes,yes but i cant describe it well,zee,important,probably yes,probably not,definitely not,,british english,sometimes,yes,yes,probably yes,might or might not,strongly disagree,strongly agree,strongly agree,neither disagree nor agree,probably yes,59,united states,postgraduate degree,i am not currently studying,0,yes ,13,less than 30 minutes,5,4,2,3,4,5,4,2.33333333333333,3.66666666666667,4,3.5
BC,female,British Columbia,strongly agree,probably not,yes,moderately comfortable,extremely important,yes,yes,yes but i cant describe it well,zee,very unimportant,definitely not,definitely yes,definitely not,yes ,british english,sometimes,no,no,definitely yes,definitely yes,agree,disagree,agree,strongly disagree,probably yes,24,canada,high school,fourth year+,2,yes ,11,12 hours,5,1,4,3,1,5,1,5,3.66666666666667,1,2.66666666666667
US,female,United States,strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,not sure,,zee,,probably yes,,probably not,yes ,no particular variety,sometimes,,no,definitely yes,probably not,strongly disagree,disagree,neither disagree nor agree,neither disagree nor agree,,69,united states,graduate degree,i am not currently studying,3,yes ,9,24 hours,3,4,,,,3,4,,,,4
US,female,United States,strongly agree,probably not,no,,important,yes,no,,zee,neither unimportant nor important,,probably yes,probably not,no,british english,sometimes,yes,,definitely yes,probably yes,strongly agree,strongly disagree,neither disagree nor agree,disagree,probably yes,84,united states,graduate degree,i am not currently studying,0,no,,24 hours,1,,3,3,3,1,,3.66666666666667,3.66666666666667,3,3.44444444444444
BC,female,British Columbia,strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,definitely not,probably yes,definitely not,yes ,british english,often,yes,neither yes or no,definitely yes,definitely yes,agree,strongly disagree,neither disagree nor agree,strongly disagree,definitely yes,24,canada,graduate degree,i am not currently studying,4,yes ,3,68 hours,5,1,3,4,3,5,1,3.66666666666667,5,3,3.16666666666667
US,female,United States,strongly agree,probably yes,no,,,yes,not sure,,zee,neither unimportant nor important,probably yes,probably yes,,,british english,,yes,neither yes or no,probably yes,definitely yes,agree,agree,strongly agree,agree,probably yes,59,united states,undergraduate degree,i am not currently studying,0,no,,more than 8 hours,3,4,3,3,3,3,4,3.66666666666667,3.66666666666667,3,3.58333333333333
MB,female,Manitoba,strongly agree,probably yes,yes,moderately comfortable,extremely unimportant,yes,yes,yes i do know it is ,zed,important,probably yes,probably yes,probably yes,yes ,no particular variety,always,yes,definitely yes,definitely yes,might or might not,agree,agree,agree,neither disagree nor agree,probably yes,64,canada,undergraduate degree,i am not currently studying,0,yes ,0,12 hours,5,4,3,3,4,5,4,3.66666666666667,3.66666666666667,4,3.83333333333333
US,female,United States,strongly agree,probably yes,no,,important,yes,no,,zee,important,probably yes,probably yes,,,british english,sometimes,yes,yes,might or might not,probably yes,disagree,disagree,,agree,probably yes,59,united states,undergraduate degree,i am not currently studying,2,no,,12 hours,1,4,3,3,4,1,4,3.66666666666667,3.66666666666667,4,3.83333333333333
BC,other,British Columbia,strongly agree,definitely yes,yes,moderately uncomfortable,unimportant,that depends ,no,yes i do know it is ,both,unimportant,probably not,probably yes,probably not,yes ,other ,sometimes,yes,yes,definitely yes,definitely yes,agree,disagree,strongly agree,strongly agree,probably yes,24,canada,high school,i am not currently studying,3,yes ,3,12 hours,1,2,3,3,2,1,2,3.66666666666667,3.66666666666667,2,2.83333333333333
BC,female,British Columbia,strongly agree,definitely yes,yes,moderately comfortable,,yes,no,,zee,neither unimportant nor important,probably yes,probably yes,probably not,yes ,british english,rarely,yes,yes,definitely not,definitely yes,disagree,neither disagree nor agree,disagree,strongly agree,probably yes,24,canada,undergraduate degree,fourth year+,4,yes ,10,24 hours,1,4,3,3,3,1,4,3.66666666666667,3.66666666666667,3,3.58333333333333
US,female,United States,agree,probably not,no,,unimportant,yes,yes,yes but i cant describe it well,zee,neither unimportant nor important,probably yes,,probably yes,no,british english,sometimes,,,probably yes,probably yes,strongly agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,,74,united states,postgraduate degree,i am not currently studying,0,no,,24 hours,5,4,,,3,5,4,,,3,3.5
BC,female,British Columbia,agree,neutral,yes,moderately comfortable,important,that depends ,not sure,,both,important,probably yes,probably yes,,yes ,british english,rarely,yes,yes,definitely yes,might or might not,disagree,strongly disagree,agree,agree,probably yes,24,canada,undergraduate degree,i am not currently studying,4,yes ,3,46 hours,3,4,3,3,4,3,4,3.66666666666667,3.66666666666667,4,3.83333333333333
BC,female,British Columbia,strongly agree,probably not,no,,important,no,yes,,zee,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,sometimes,no,neither yes or no,definitely yes,probably yes,agree,disagree,,,probably yes,24,canada,high school,second year,0,yes ,7,46 hours,5,4,3,3,3,5,4,3.66666666666667,3.66666666666667,3,3.58333333333333
BC,male,British Columbia,somewhat agree,neutral,no,,,that depends ,yes,yes i do know it is ,both,very unimportant,might or might not,,,,no particular variety,,yes,neither yes or no,probably yes,probably yes,agree,strongly disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,high school,i am not currently studying,0,no,,24 hours,5,3,,3,1,5,3,,3.66666666666667,1,2.55555555555556
US,female,United States,strongly agree,probably yes,yes,does not apply to me ,,that depends ,yes,yes but i cant describe it well,zee,neither unimportant nor important,probably yes,definitely yes,,yes ,british english,often,yes,no,definitely yes,definitely yes,disagree,disagree,agree,agree,definitely yes,54,united states,postgraduate degree,i am not currently studying,0,yes ,15,30 minutes to 1 hour,5,4,4,4,3,5,4,5,5,3,4.25
US,female,United States,strongly disagreee,neutral,yes,moderately uncomfortable,,yes,yes,,zee,neither unimportant nor important,might or might not,,probably not,yes ,british english,often,yes,no,definitely yes,might or might not,agree,neither disagree nor agree,neither disagree nor agree,agree,,69,united states,graduate degree,i am not currently studying,0,yes ,13,12 hours,5,3,,,3,5,3,,,3,3
US,female,United States,strongly agree,probably yes,no,,important,that depends ,no,,zee,important,probably yes,probably yes,probably not,yes ,british english,sometimes,yes,no,definitely yes,probably yes,disagree,disagree,agree,disagree,probably yes,74,united states,graduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,1,4,3,3,4,1,4,3.66666666666667,3.66666666666667,4,3.83333333333333
ON,female,Ontario,agree,probably yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,very important,definitely yes,,probably not,,british english,sometimes,,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,74,canada,postgraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,5,5,,3,5,5,5,,3.66666666666667,5,4.55555555555556
US,female,United States,strongly agree,probably yes,no,,important,yes,no,,zee,very important,definitely yes,probably not,probably not,,british english,often,no,no,probably yes,probably yes,strongly agree,neither disagree nor agree,disagree,neither disagree nor agree,definitely yes,64,united states,undergraduate degree,i am not currently studying,0,yes ,15,30 minutes to 1 hour,1,5,2,4,5,1,5,2.33333333333333,5,5,4.33333333333333
US,male,United States,strongly agree,probably yes,no,,important,that depends ,no,,zee,unimportant,probably not,probably yes,definitely not,yes ,no particular variety,often,yes,neither yes or no,definitely yes,probably yes,agree,disagree,agree,agree,definitely yes,54,united states,undergraduate degree,i am in a graduate program,0,no,,12 hours,1,2,3,4,2,1,2,3.66666666666667,5,2,3.16666666666667
AB,female,Ontario,strongly agree,definitely yes,yes,moderately comfortable,important,that depends ,,yes but i cant describe it well,zed,neither unimportant nor important,probably not,probably yes,probably not,yes ,british english,sometimes,yes,definitely yes,definitely yes,probably yes,disagree,disagree,neither disagree nor agree,disagree,probably yes,64,canada,postgraduate degree,i am not currently studying,2,no,,24 hours,,2,3,3,3,,2,3.66666666666667,3.66666666666667,3,3.08333333333333
MB,female,British Columbia,strongly agree,definitely yes,yes,moderately uncomfortable,,that depends ,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,probably yes,yes ,no particular variety,often,yes,neither yes or no,definitely yes,definitely yes,disagree,disagree,neither disagree nor agree,disagree,probably yes,54,canada,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,5,5,3,3,4,5,5,3.66666666666667,3.66666666666667,4,4.08333333333333
BC,male,Ontario,somewhat agree,probably not,no,,important,yes,yes,yes but i cant describe it well,both,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,often,yes,yes,might or might not,probably yes,agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,24,canada,high school,third year,0,no,,12 hours,5,4,3,3,3,5,4,3.66666666666667,3.66666666666667,3,3.58333333333333
ON,female,United States,strongly agree,probably not,no,,important,no,not sure,,zee,unimportant,probably yes,probably not,probably not,,no particular variety,sometimes,yes,neither yes or no,probably yes,probably not,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,69,united states,postgraduate degree,i am not currently studying,0,no,,12 hours,3,4,2,3,2,3,4,2.33333333333333,3.66666666666667,2,3
BC,female,British Columbia,strongly agree,probably not,yes,moderately comfortable,extremely unimportant,that depends ,no,yes but i cant describe it well,both,very unimportant,,probably not,probably not,,no particular variety,sometimes,,no,might or might not,probably yes,strongly disagree,strongly disagree,neither disagree nor agree,neither disagree nor agree,probably not,24,canada,undergraduate degree,i am in a graduate program,6,yes ,5,24 hours,1,,2,2,1,1,,2.33333333333333,2.33333333333333,1,1.88888888888889
ON,male,British Columbia,strongly agree,probably yes,no,,extremely important,that depends ,yes,yes i do know it is ,zed,very important,probably yes,definitely yes,probably not,yes ,british english,sometimes,yes,yes,definitely yes,probably yes,agree,agree,strongly agree,neither disagree nor agree,probably yes,24,canada,undergraduate degree,i am in a graduate program,0,no,,46 hours,5,4,4,3,5,5,4,5,3.66666666666667,5,4.41666666666667
PE,female,Ontario,strongly agree,probably yes,no,,important,that depends ,not sure,yes but i cant describe it well,zed,important,,probably yes,probably not,,british english,often,yes,yes,definitely yes,probably not,neither disagree nor agree,neither disagree nor agree,agree,disagree,probably yes,59,canada,postgraduate degree,i am not currently studying,0,no,,12 hours,3,,3,3,4,3,,3.66666666666667,3.66666666666667,4,3.77777777777778
BC,female,British Columbia,strongly agree,definitely yes,yes,moderately comfortable,important,yes,no,,zed,neither unimportant nor important,might or might not,probably yes,definitely not,yes ,british english,always,yes,definitely yes,definitely yes,definitely yes,agree,disagree,strongly agree,neither disagree nor agree,definitely yes,24,canada,high school,fourth year+,8,yes ,11,24 hours,1,3,3,4,3,1,3,3.66666666666667,5,3,3.66666666666667
ON,female,Ontario,strongly agree,definitely yes,no,,important,no,yes,,both,,probably yes,probably yes,,yes ,british english,often,yes,yes,probably yes,probably yes,agree,neither disagree nor agree,,neither disagree nor agree,probably yes,54,canada,undergraduate degree,i am not currently studying,0,no,,12 hours,5,4,3,3,,5,4,3.66666666666667,3.66666666666667,,3.77777777777778
ON,male,Ontario,strongly agree,definitely yes,yes,extremely comfortable,,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,definitely yes,probably yes,definitely not,yes ,no particular variety,sometimes,yes,definitely yes,probably yes,probably yes,disagree,disagree,agree,agree,probably yes,44,canada,postgraduate degree,i am not currently studying,1,no,,30 minutes to 1 hour,5,5,3,3,3,5,5,3.66666666666667,3.66666666666667,3,3.83333333333333
